CS(=O)(=O)Cl.OCCCBr	CS(=O)(=O)OCCCBr
C=CC=C.Cc1ccc(C)cc1	C=CC(C)Cc1ccc(C)cc1
CCOC(=O)CCCC1CCCC1=O	O=C(O)CCCC1CCCC1=O
CCCCCC(=O)/C=C/Br	CCCCCC(O)/C=C/Br
CCCCCC(=O)/C=C/Br	CCCCCC(O)/C=C/Br
C#CC(CCCCC)OC.II	CCCCCC(/C=C/I)OC
Cc1ccccc1.NC(N)=O	NC(=O)NC1CCCC1
CC(O)C(=O)O.CN(C)CCO	CC(O)C(=O)OCCN(C)C
CC(C)=O.FC(F)(F)SCl	CC(=O)CSC(F)(F)F
OCCN(CCO)CCO	OCCN(CCO)CCO
ClCc1cnccn1.OCCO	OCCOCc1cnccn1
CCN=C=S.NCCNCc1nccs1	CCNC(=S)NCCNCc1nccs1
CN=C=O.NCCSCc1cnccn1	CNC(=O)NCCSCc1cnccn1
CN=C=O.NCCNCc1nccs1	CNC(=O)NCCNCc1nccs1
Cn1cc2ccccc2cc1=O	Cn1cc2ccccc2cc1=O
CNC(=S)Nc1ccccc1.NO	CNC(=NO)Nc1ccccc1
CC(=O)Nc1ccccc1F.ClCl	CC(=O)Nc1ccc(Cl)cc1F
CCCCCC/C=C/C(=O)O	CCCCCC/C=C/CO
C1CC2C3CCC(CC3)C2C1	C1CC2CC3CCC2C(C1)C3
CCC(C)N.CCCC(C)Br	CCCC(C)NC(C)CC
C=CC#N.CCCCCCCCCCCCS	CCCCCCCCCCCCSCCC#N
CC(=O)Nc1ccccc1F.ClCl	CC(=O)Nc1ccc(Cl)cc1F
CC(C)N.O=C1CCCCC1	CC(C)N=C1CCCCC1
CN(C)CCCN.O=CO	CN(C)CCCNC=O
C1=CCCCCCC1.C=C	C=CCCCCCCC=C
Nc1nnn[nH]1.O=C(Cl)CCl	O=C(CCl)Nc1nnn[nH]1
c1ccc2c(c1)CCCC2	c1ccc2ccccc2c1
CS(=O)CCl.Sc1ccccc1	CS(=O)CSc1ccccc1
Cl.Nc1ccccn1.[Br-]	Nc1ncc(Cl)cc1Br
C=C(C)C=O.OCc1ccccc1	CC(CO)COCc1ccccc1
NNc1ccc(Cl)cc1F	NNc1ccc(Cl)cc1F
ClCc1cc[nH]n1.OCCO	OCCOCc1cc[nH]n1
C=CCBr.CCOC(=O)CNC	C=CCN(C)CC(=O)OCC
ClCCCI.O=CCc1ccccc1	O=C(CCCCl)Cc1ccccc1
CCc1ccccc1C(=O)O.CO	CCc1ccccc1C(=O)OC
CCOC(=O)CBr.COCCN	CCOC(=O)CNCCOC
CCOC(=O)C(N)=S.NO	CCOC(=O)/C(N)=N/O
CCCCCCC1CO1.N	CCCCCCC(O)CN
C=CC=O.CC(CO)CO	C=CC1OCC(C)CO1
C=CC=O.CC(CO)CO	C=CC1OCC(C)CO1
ClCCl.O=C(O)c1ccccc1	O=C(Cl)c1ccccc1
CCCCCC1(C)CO1.S	CCCCCC(C)(O)CS
C[O-].Clc1cncc(Cl)n1	COc1cncc(Cl)n1
CC(O)c1ccco1.O	Cc1occc(=O)c1O
CC(O)c1ccco1.O	Cc1occc(=O)c1O
COC(=O)c1nc(Cl)cnc1N	Nc1ncc(Cl)nc1C(=O)O
CCCCN.COCC(Cl)C=O	CCCCNC(C=O)COC
Nc1cccnc1.OCC(O)CO	c1cnc2cccnc2c1
CN1CCN(C#N)CC1.C[O-]	COC(=N)N1CCN(C)CC1
CCCCNCCCC.S=C(Cl)Cl	CCCCN(CCCC)C(=S)Cl
C=CC=O.CC(CO)CO	C=CC1OCC(C)CO1
C=CC=O.CC(CO)CO	C=CC1OCC(C)CO1
COc1ccc(C=O)cc1OC.NO	COc1ccc(C#N)cc1OC
Cn1cccc1.N#CC#N	Cn1cccc1CC#N
C1CCCCCCCCCCC1.O	OC1CCCCCCCCCCC1
CC(C)C=O.Oc1ccccc1O	CC(C)C1Oc2ccccc2O1
COC(=O)C(=O)c1cccn1C	COC(=O)Cc1cccn1C
CSCCC(NC(C)=O)C(=O)O	CSCC[C@H](N)C(=O)O
C=COCC.Oc1ccccc1O	CCOC(C)Oc1ccccc1O
CNC.O=C1CCCCC1	CN(C)C1=CCCCC1
OCCC(CO)OCc1ccccc1F	Fc1ccccc1COC1CCOC1
c1ccc(C2CCCCC2)cc1	c1ccc(C2CCCCC2)cc1
C#CCCl.OCc1cccnc1	C#CCOCc1cccnc1
Nc1ccc(Cl)cc1C(=O)O	O=C(O)c1cccc(Cl)c1
O=C1N(Br)CC1(CBr)CBr	O=C1NCC1(CBr)CBr
C=O.CNC.Cc1cnc(C)cn1	Cc1cnc(CCN(C)C)cn1
N.O=C(O)Cn1nnnc1S	NC(=O)Cn1nnnc1S
C=CCCCCCCO.CC(C)=O	C=CCCCCCC(=O)O
C=CCCCCCC(=O)O.[Li]C	C=CCCCCCC(C)=O
CC=CCCCCCCCCCC(=O)O	CCCCCCCCCCC=CC(=O)O
C=O.CNC.Cc1ccncc1O	Cc1ccnc(CN(C)C)c1O
CSCCC(NC(C)=O)C(=O)O	CSCC[C@H](N)C(=O)O
CI.OCCSCc1ccncc1	COCCSCc1ccncc1
COC1=CC=CC=CC1	COC1C=CC=CC=C1
CCNCC.ClCC1CO1	CCN(CC)CC1CO1
C1CO1.CCc1ccc(O)cc1	CCc1ccc(OCCO)cc1
CO.N#Cc1ccnc(Cl)c1	COc1cc(C#N)ccn1
CSCCC(NC(C)=O)C(=O)O	CSCC[C@H](N)C(=O)O
CSCCC(NC(C)=O)C(=O)O	CSCC[C@H](N)C(=O)O
CCCCCCCCNC(=O)CCCCCC	CCCCCCCCNCCCCCCC
BrBr.CC(=O)C(C)(C)CF	CC(C)(CF)C(=O)CBr
CC1(CCCCl)OCCO1.[Br-]	CC1(CCCBr)OCCO1
CC1CO1.Cc1cccc(N)c1C	Cc1cccc(NCC(C)O)c1C
N.O=C(O)Cn1nnnc1S	NC(=O)Cn1nnnc1S
Clc1ccc2sc(Cl)nc2c1	Clc1ccc2sc(Cl)nc2c1
CCCCOC(C)Cl.c1nc[nH]n1	CCCCOC(C)n1cncn1
CSCC(=O)C(C)(C)CF.NO	CSCC(=NO)C(C)(C)CF
C1CCNC1.N#CC=CO	N#CC=CC1CCNC1
NC(N)=S.O=C1CCCCC1Cl	Nc1nc2c(s1)CCCC2
NC(N)=S.O=C1CCCCC1Cl	Nc1nc2c(s1)CCCC2
CCCCOC(=O)CNc1ccccc1	CCCCOC(=O)CNc1ccccc1
CC#N.Cc1cccc(C)c1N	Cc1cccc(C)c1NCC#N
C=CCC#N.Oc1ccccc1O	N#CCC1COc2ccccc2O1
CCCCCBr.c1cc[cH-]c1	CCCCCC1=CC=CC1
O=C(O)c1ccc(Cl)nc1	OCc1ccc(Cl)nc1
COC(=O)c1ccccn1.NO	O=C(NO)c1ccccn1
CCCCBr.CN(C)CCO	CCCCOCCN(C)C
CCCCCc1ccc(O)cc1	CCCCCC1CCC(O)CC1
CNC(Cl)=Nc1ccccc1	CN=C=Nc1ccccc1
C#CC(C)(O)C=CC(C)CC	C=CC(C)(O)C=CC(C)CC
O=CCCl.SCc1ccncc1	O=CCSCc1ccncc1
Cc1oc2ccccc2c1C.ClCCl	Cc1oc2cc(CCl)ccc2c1C
CC(=O)CCl.Cn1nnnc1S	CC(=O)CSc1nnnn1C
CC1CC=C(C(=O)O)CC1	CC1=CCC(C(=O)O)CC1
Cc1nonc1CO.NCCS	Cc1nonc1CSCCN
C1CN1.Nc1ccccc1	NCCNc1ccccc1
CC1CC=C(C(=O)O)CC1	CC1=CCC(C(=O)O)CC1
C=CCNCCN.S=C=S	C=CCNCCNC(=S)S
C=CC(=O)Cl.CCCCCCCCN	C=CC(=O)NCCCCCCCC
O=C(O)CC(F)(F)C(=O)O	O=C1CC(F)(F)C(=O)O1
COc1cc(SC#N)ccc1O	COc1cc(SC)ccc1O
C(CCC1CO1)CC1CO1.[OH-]	CCCCCCC12OC1O2
CC(C)=O.Nc1ccc(F)cc1	CC(C)Nc1ccc(F)cc1
C=CCn1nnnc1S.O=C=O	O=C(O)CC=Cn1nnnc1S
CC(C)(C)C1CCCC(N)C1	CC(C)(C)c1cccc(N)c1
C=O.Cl.c1ccc2occc2c1	ClCc1cc2ccccc2o1
c1cncc(-c2ncc[nH]2)c1	c1c[nH]c(C2CCCNC2)n1
Nc1ccc(Cl)cc1Cl.S=C=S	Sc1nc2ccc(Cl)cc2s1
CO.ClCc1ccco1.[OH-]	O=C(O)Cc1ccco1
CC(=O)c1c(F)cccc1F	CC(O)c1c(F)cccc1F
N#Cc1cc(CCCCl)ccn1	NCc1cc(CCCCl)ccn1
COC(=O)c1nsc(N)n1.Cl	COC(=O)c1nsc(Cl)n1
CC1(C)NC(=S)CS1.CI	CSC1=NC(C)(C)SC1
CNS(=O)(=O)c1ccccc1C	NS(=O)(=O)c1ccccc1
C=O.Oc1ccccc1	O=Cc1ccccc1O
CCCCO.O=P(Cl)(Cl)Cl	CCCCOP(=O)(Cl)Cl
C1CCCNCC1.OCCCCl	OCCCN1CCCCCC1
